ean:,nombre,precio,imagen_link
fab,Limpiador Fabuloso  Frescura Profunda Fresca Lavanda X1lt               ,$8300,
fab,Colores Faber Castell  X24und                                           ,$22.900,https://lh3.googleusercontent.com/rOip7Uuw4ssnulIiS1O-OdIt6lELqJ6aLaD1bVTG1P3x3OJ-chpj3gMWgzgLYT3BL5kvJ_1OjGth7RSd21riWPKhnYlylQtCOw=s650-rw
fab,Tajalapiz Faber Castell  Con Deposito X2und                             ,$4500,https://lh3.googleusercontent.com/GX_8ig1wWA0_wEoJV-dQfKf2Dig2JIORgXvfOFq4jzCHeShohnm87A5dqXPnwbO05cH8W-kRBxMAd44-GfnrK24PN0_UtPhnlUpP=s650-rw
fab,//Jabón Fab Multiusos  Máximo Poder Floral X300g. ,$2600,https://lh3.googleusercontent.com/exTrlxb4DDDXvPfaRL_RJL0cncl69eWW1vUf2J_DiIf2b7mstsK1Haj7vrfmhI7dcKUV5dsVC15tvm1llwJ_4DdNDBV8tvpP5A=s650-rw
fab,Detergente Liquido Fab  Doypack X1.3 Lt ,$13.350,https://lh3.googleusercontent.com/9joWoOGjVPDCxDj7_WzXr33KHa-0q-P1XeTJfGeO6QT77uzRCnSvMPvN49-mRqZqae9rOom0JDibixn8y5v9FrWXJKvMABq35D8JC-A0VdaaMn0=s650-rw
fab,Esmalte Admiss Fabian X  10Ml ,$3200,https://lh3.googleusercontent.com/d_siT6rd0tsKwyzt7__-bNReZVSKjiufyH73fb3M-Ck5cDQ6KSKgTM6cmtdoccVp_KCmhGEw_fHpc6-gygnzna74AwK8lnZRCn-oRG5W8w_MxSND9w=s650-rw
fab,"Esmalte Masglo Fabulosa  X 13,5Ml ",$9250,https://lh3.googleusercontent.com/xph9CbnHIaqTysc6pGRBj29VhbPx1KoQMaBG-MZxk5VHeM1SzpK-Y6E5ndd-VLuNJMu7brGvaT9pxWnHA1AKAMva-0LMFvCgUNMp_VghiFzCCeZpHA=s650-rw
fab,//Labial Vogue Super  Fantastic Fabuloso 4Gr ,$7100,
fab,Labial Vogue Liquido  Resist Fabulosa X 3Ml ,$12.975,
fab,//Sombra Almay Palette  Pops Fabulista  X1und  ,$63.500,
fab,Shampoo Herbal Essences  Argan Oil Of Morocco X 400Ml  ,$18.225,
fab,Shampoo Herbal Essences  Coconut Milk X 400Ml  ,$24.300,
fab,Acondicionador Herbal Essences Bio:renew Argan Oil Of Morocco 400 Ml ,$18.225,
fab,Acondicionador Herbal Essences Bio:renew Coconut Milk 400 Ml ,$24.300,
fab,Shampoo Herbal Essences  Rosemary & Herbs X 400Ml ,$24.300,
fab,Compresa Kamex Para Ojos  Azul X1und.                                   ,$26.000,
fab,Compresa Kamex Terapia  Cefalica  Azul X1und                            ,$28.900,
fab,Compresa Kamex Pelvica   Azul X1und                                     ,$34.000,
fab,Compresa Kamex Para  Senos Talla S/m Color Azul X2und.                  ,$34.300,
fab,Compresa Kamex Para  Gluteos Azul X1und.                                ,$40.600,
fab,Solo Online Copa Menstrual Bloom Grande X 1 Und ,$74.800,
fab,Solo Online Copa Menstrual Bloom Corta X 1 Und ,$74.800,
fab,Copas Menstrual Lifecup  De Silicona Médica Talla 2 Transparente X1und ,$75.900,
fab,Copas Menstrual Lifecup  De Silicona Médica Talla 1 Lila X1und ,$75.900,
fab,Copas Menstrual Lifecup  De Silicona Médica Talla 0 Lila X1und ,$75.900,
fab,//Fabrica De Marcadores Rosado Crayola Navidad 2015,$138.400,https://lh3.googleusercontent.com/exTrlxb4DDDXvPfaRL_RJL0cncl69eWW1vUf2J_DiIf2b7mstsK1Haj7vrfmhI7dcKUV5dsVC15tvm1llwJ_4DdNDBV8tvpP5A=s650-rw
fab,//Fabrica De Marcadores Crayola Navidad 2015,$138.400,https://lh3.googleusercontent.com/exTrlxb4DDDXvPfaRL_RJL0cncl69eWW1vUf2J_DiIf2b7mstsK1Haj7vrfmhI7dcKUV5dsVC15tvm1llwJ_4DdNDBV8tvpP5A=s650-rw
fab,Tijera Faber Castell  Estudiantil X1und                                 ,$4900,https://lh3.googleusercontent.com/ilasX-Hy3M9VYFNrDzBBnLxm50lVhYUnial0R6U86oq96DzNnw2_PN-ppUdOkO-m7MPdmmqID36H_qgMNz4CKzqbadT8nweOQg=s650-rw
