searched_word,nombre,precio,imagen_link
maizena,Fécula De Maíz Maizena x 90g,$ 2290,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3736751-400-400/7702047003466.jpg?v=637630213994070000
maizena,Fécula de maíz Maizena x380g,$ 10.190,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3722386-400-400/7702047003497.jpg?v=637581553538730000
maizena,Yucarina Almidón De Yuca Maizena x 300g,$ 10.590,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3736750-400-400/7702047001424.jpg?v=637630212917000000
maizena,Colada Maizena vainilla x 180g,$ 5390,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3533874-400-400/7702047040096.jpg?v=637320581527700000
maizena,Colada Maizena arequipe x 28g,$ 1190,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3533872-400-400/7702047040034.jpg?v=637320581513630000
maizena,Colada Maizena arequipe x 180g,$ 5390,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3533875-400-400/7702047040102.jpg?v=637320581528170000
maizena,Colada Maizena vainilla x 28g,$ 1190,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3533873-400-400/7702047040058.jpg?v=637320581525200000
maizena,Mezcla lista pancakes crepes waffles Maizena x 600 g,$ 9090,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3749087-400-400/7702047037928.01.jpg?v=637677429469630000
maizena,Fécula de maíz Maizena x720g,$ 16.890,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3722377-400-400/7501005110563.jpg?v=637581553497700000
maizena,Mezcla lista pancakes crepes waffles Maizena x 300 g,$ 5190,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3749088-400-400/7702047037935.01.jpg?v=637677430431430000
maizena,Colada Maizena fresa x 28g,$ 1190,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3533876-400-400/7702047040041.jpg?v=637320581530700000
maizena,Cereal Maizena muticereal infantil bebé 4 cereales x 200g,$ 7290,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3533869-400-400/7702047039991.jpg?v=637320581505730000
maizena,Cereal Maizena multicereal infantil bebé miel x 200g,$ 7290,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3533871-400-400/7702047040003.jpg?v=637320581511000000
dove,Dove Jabón Corporal Liquido 12Oz,$ 17.190,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/199241-400-400/11111124127.jpg?v=636252957443570000
dove,Jabón Dove leche de coco x3 und x90g,$ 11.790,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3722382-400-400/7702006201346.jpg?v=637581553522770000
dove,Shampoo Dove reconstrucción completa x 400 ml+ súper acondicionador 60...,$ 31.990,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3503473-400-400/7702006402019.jpg?v=637249839988530000
dove,Jabón Dove en barra mix x5 und x90g,$ 13.190,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3395263-400-400/7702191662892-20-281-29.jpg?v=636874014915230000
dove,Jabón Dove aceite argán barra x3undx90c-u,$ 11.790,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3498698-400-400/7702006300735.jpg?v=637236914769900000
dove,Shampoo Dove reconstrucción completa x 750 ml,$ 31.990,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3503420-400-400/7791293002897.jpg?v=637249839438930000
dove,Jabón Dove corporal aceite karite vainilla líquido x650ml,$ 28.190,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3722375-400-400/11111115224.jpg?v=637581553494730000
dove,Jabón Dove liquido cuerpo go fresh granada x650ml,$ 28.590,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3722376-400-400/11111074705.jpg?v=637581553497700000
dove,Desodorante Dove en barra dermo aclarante para mujer x2 und x50g,$ 29.990,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3437821-400-400/7702006001069.jpg?v=637014800737900000
dove,Antitranspirante dermo aclarante Dove roll on x 2 und x 50 ml c-u,$ 20.590,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3503417-400-400/7861001361087.jpg?v=637249839418900000
dove,Jabón Dove repuesto económico antibacterial x2und x440ml,$ 9390,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3738053-400-400/7702006404198.jpg?v=637636876368530000
dove,Jabón Dove original barra x6 und x90 cu,$ 18.590,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3262696-400-400/7891150044616.jpg?v=636571730085070000
dove,Jabón liquido Dove antibacterial x250ml,$ 11.790,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3555400-400-400/7891150075405.jpg?v=637370964254230000
dove,Jabon Dove original barra x 3und x90g c-u,$ 11.790,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3355831-400-400/7891150046481.jpg?v=636778220985100000
dove,Jabon Dove Karité barra x3 undx 90g c-u,$ 11.190,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3355852-400-400/7891150046528.jpg?v=636778221094770000
dove,Jabón Dove cuida y protege antibacterial x6und x90g,$ 21.590,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3555399-400-400/7891150076051.jpg?v=637370964254230000
dove,Jabón Dove repuesto nutrición profunda humectante x2und x440ml,$ 9390,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3738054-400-400/7702006404204.jpg?v=637636876369630000
dove,Dove Jabón Manos Liquido 250ml,$ 9790,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/178460-400-400/7891150017849.jpg?v=636118128298630000
dove,Shampoo Dove reconstrucción completa x 400 ml,$ 20.590,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3472548-400-400/7791293005010.jpg?v=637116805497970000
dove,Shampoo Dove nutritive hidratación intensa x400ml,$ 20.590,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3498755-400-400/7891150050488.jpg?v=637236916391170000
dove,Dove Jabón Blanco 90g,$ 3990,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3498760-400-400/7898422746759.jpg?v=637236916412730000
dove,Antitranspirante Dove men individual dry aerosol x 2 und x 150 ml c/u,$ 29.990,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3503479-400-400/7702006400299.jpg?v=637249840029330000
dove,Jabón Dove cuida y protege antibacterial x250ml,$ 9790,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3738238-400-400/7791293040325.jpg?v=637636877675100000
dove,Jabón Dove antibacterial x3und x90g c-u,$ 11.790,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3555402-400-400/7891150076068.jpg?v=637370964263300000
dove,Jabón Dove Baby corporal humectación enriquecida liquida x 400 ml,$ 20.790,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3355833-400-400/7891150036369.jpg?v=636778220994030000
dove,Shampoo + acondicionador Dove reconstrucción completa x 400 ml,$ 31.990,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3503471-400-400/7702006922401.jpg?v=637249839982730000
dove,Shampoo Dove anticaspa hidratación y suavidad x400ml,$ 20.590,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3719617-400-400/7702006206617.jpg?v=637570356704330000
dove,Desodorante Dove dermoaclarant x 3 und x 150 ml c-u precio especial,$ 42.990,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3401417-400-400/7411000314081.jpg?v=636893222635600000
dove,Desodorante en barra Dove clean comfort x 50 g,$ 17.990,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3482448-400-400/75031060.jpg?v=637164275030970000
dove,Shampo Dove reconstrucción completa x750ml + acondicionador x170ml,$ 42.190,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3766411-400-400/7702006401364.jpg?v=637741672511770000
dove,Jabón Dove original x12 und x90g c/u,$ 39.390,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3693762-400-400/7411000392713.jpg?v=637493416757100000
dove,Desodorante Dove en barra original x50g,$ 20.990,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3472605-400-400/75027513.jpg?v=637116805698000000
fab,Detergente Fab polvo remueve manchas difíciles x6kg,$ 39.390,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3555391-400-400/7702191163108.jpg?v=637370964226030000
fab,Detergente Fab líquido tecnología 4 x tamaño ahorrador x 5l,$ 46.590,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3736610-400-400/7702191161265.jpg?v=637629298342400000
fab,Detergente Fab polvo protección colores + vivos x 2kg,$ 13.590,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3506794-400-400/7702191162651.jpg?v=637261953776930000
fab,Detergente Fab polvo protección color + vivos x 6kg,$ 42.990,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3722391-400-400/7702191163115.jpg?v=637581553558130000
fab,Detergente Fab polvo protección colores + vivos x 4kg,$ 30.790,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3506793-400-400/7702191162668.jpg?v=637261953775200000
fab,Fab floral poder acelerador detergente en polvo 4 kg,$ 26.990,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3506801-400-400/7702191000014.jpg?v=637261953794770000
fab,Detergente Fab Liquido Proteccion Color + Vivos X5L,$ 46.590,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3736616-400-400/7702191451182.jpg?v=637629298366630000
fab,Detergente Fab líquido protección colores + vivos x1.8Litros,$ 15.390,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3724955-400-400/7702191162682---Detergente-FAB-Polvo-Proteccion-Color-1.8-Litros.jpg?v=637589582137000000
fab,Detergente Fab polvo x 3Kg,$ 20.190,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3506797-400-400/7702191162484.jpg?v=637261953782400000
fab,Detergente Fab líquido x3Litros,$ 20.390,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3724956-400-400/7702191348420.jpg?v=637589582583630000
fab,Detergente Fab líquido floral poder acelerador x 3L,$ 29.790,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3506835-400-400/7702191660010.jpg?v=637261956007900000
fab,Detergente Fab liquido Doy Pack X 900ml,$ 8990,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3377372-400-400/7702191661352.jpg?v=636816063961930000
fab,Lavaloza Fab lozamax limon x 700ml + gratis obsequio,$ 8590,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3650175-400-400/7702191451410.jpg?v=637401137519000000
