ean,nombre,precio,descuento,imagen_link
7804320561585,,NoneNone,,
7804320646800,,NoneNone,,
7804320646893,,NoneNone,,
7804320746555,VINO CASILLERO DIABLO RED BLEND 750ML ,62200,,https://olimpica.vtexassets.com/arquivos/ids/498913-800-auto?width=800&height=auto&aspect=true
7804320751306,,NoneNone,,
7804925193075,,NoneNone,,
7804955003634,,NoneNone,,
7804955003672,,NoneNone,,
7804955003689,,NoneNone,,
7805025689918,,NoneNone,,
7805505006457,,NoneNone,,
7806500730514,,NoneNone,,
7806500962335,,NoneNone,,
7806810240000,,NoneNone,,
7806810240437,,NoneNone,,
7806810251068,,NoneNone,,
7808304268118,,NoneNone,,
7808304268279,,NoneNone,,
7808304268286,,NoneNone,,
7808765722822,,NoneNone,,
7809623800591,,NoneNone,,
7809623803967,,NoneNone,,
7861000133722,,NoneNone,,
7861000142649,,NoneNone,,
7861001350029,,NoneNone,,
7861002562711,,NoneNone,,
7861004911258,,NoneNone,,
7861012410101,,NoneNone,,
7861036712052,,NoneNone,,
7861036712069,,NoneNone,,
7861036712106,,NoneNone,,
7861036712113,,NoneNone,,
7861036712229,,NoneNone,,
7861036712304,,NoneNone,,
7861036712311,,NoneNone,,
7861036712328,,NoneNone,,
7861036712335,,NoneNone,,
7861036712410,,NoneNone,,
7861036712434,,NoneNone,,
7861036712489,,NoneNone,,
7861036712564,,NoneNone,,
7861036713301,,NoneNone,,
7861036714421,,NoneNone,,
7861036714469,,NoneNone,,
7861036715121,,NoneNone,,
7861048600026,,NoneNone,,
7861048600033,,NoneNone,,
7861048628082,,NoneNone,,
7861048637664,,NoneNone,,
7861073963530,,NoneNone,,
7861152805911,,NoneNone,,
7861152805935,,NoneNone,,
7861152805942,,NoneNone,,
7861152805959,,NoneNone,,
7861152813961,,NoneNone,,
7861152813985,,NoneNone,,
7861152813992,,NoneNone,,
7861152814005,,NoneNone,,
7861152814012,,NoneNone,,
7861158700029,,NoneNone,,
7861158700302,,NoneNone,,
7861167300081,,NoneNone,,
7861173100569,,NoneNone,,
7861173100576,,NoneNone,,
7861173101160,,NoneNone,,
7861191911024,,NoneNone,,
7862105220010,,NoneNone,,
7862105220140,,NoneNone,,
7862106300186,,NoneNone,,
7862111870544,,NoneNone,,
7862111871060,,NoneNone,,
7862119500108,,NoneNone,,
7862119500153,,NoneNone,,
7862119500245,,NoneNone,,
7862119500306,,NoneNone,,
7862119500689,,NoneNone,,
7862119500818,,NoneNone,,
7862119500887,,NoneNone,,
7862119501396,,NoneNone,,
7862119502232,,NoneNone,,
7862119502591,,NoneNone,,
7862119502942,,NoneNone,,
7862119505790,,NoneNone,,
7862119505950,,NoneNone,,
7862124460015,,NoneNone,,
7862130620113,,NoneNone,,
7862130620250,,NoneNone,,
7862910003051,,NoneNone,,
7862910353415,,NoneNone,,
7862910353651,,NoneNone,,
7866640700204,,NoneNone,,
7866640700556,,NoneNone,,
7866640700761,,NoneNone,,
7866640700969,,NoneNone,,
7891010010577,,NoneNone,,
7891010024734,,NoneNone,,
7891010026264,,NoneNone,,
7891010030087,,NoneNone,,
7891010030872,,NoneNone,,
7891010037420,,NoneNone,,
7891010041366,,NoneNone,,
7891010088125,,NoneNone,,
7891010500115,,NoneNone,,
7891010718381,,NoneNone,,
7891010925550,,NoneNone,,
7891010960346,,NoneNone,,
7891010974329,,NoneNone,,
7891024009086,,NoneNone,,
7891024025406,,NoneNone,,
7891024026366,,NoneNone,,
7891024027851,,NoneNone,,
7891024031384,,NoneNone,,
7891024100957,,NoneNone,,
7891024123164,,NoneNone,,
7891024132517,,NoneNone,,
7891024135952,,NoneNone,,
7891024145081,,NoneNone,,
7891024179659,,NoneNone,,
7891024180228,,NoneNone,,
7891024183007,,NoneNone,,
7891035040191,,NoneNone,,
7891038301800,,NoneNone,,
7891051026780,,NoneNone,,
7891079013786,,NoneNone,,
7891106004480,,NoneNone,,
7891150000247,,NoneNone,,
7891150001183,,NoneNone,,
7891150001220,,NoneNone,,
7891150001282,,NoneNone,,
7891150006072,,NoneNone,,
7891150017696,,NoneNone,,
7891150019461,,NoneNone,,
7891150019492,,NoneNone,,
7891150024229,,NoneNone,,
7891150025370,,NoneNone,,
7891150025387,,NoneNone,,
7891150033504,,NoneNone,,
7891150042667,,NoneNone,,
7891150076051,JABON DOVE ANTIBACTERIAL CUIDA Y PROTEGE 90G X 6 UNIDADES ,12320,,https://olimpica.vtexassets.com/arquivos/ids/485184-800-auto?width=800&height=auto&aspect=true
7891155002482,,NoneNone,,
7891155013150,,NoneNone,,
7891317196431,,NoneNone,,
7891317199739,,NoneNone,,
7896007547128,,NoneNone,,
7896016111891,,NoneNone,,
7896019018958,,NoneNone,,
7896029000366,,NoneNone,,
7896048900487,,NoneNone,,
7896048911315,,NoneNone,,
7896048913685,,NoneNone,,
7896075701071,,NoneNone,,
7896075710103,,NoneNone,,
7896116866028,,NoneNone,,
7896184170072,,NoneNone,,
7896255705301,,NoneNone,,
7896261005211,,NoneNone,,
7896269903205,,NoneNone,,
7896952500056,,NoneNone,,
7898349700780,,NoneNone,,
7898349700827,,NoneNone,,
7898422746179,,NoneNone,,
7898422746216,,NoneNone,,
7898422746803,,NoneNone,,
7898510454412,,NoneNone,,
7898510454429,,NoneNone,,
7898580633038,,NoneNone,,
7898591459597,,NoneNone,,
7899026422292,,NoneNone,,
7899026462694,,NoneNone,,
7909990995374,,NoneNone,,
7920714400007,,NoneNone,,
7920714400373,,NoneNone,,
7920714400375,,NoneNone,,
7920714406061,,NoneNone,,
7920714417159,,NoneNone,,
7920714430489,,NoneNone,,
7920714456890,,NoneNone,,
7966555001547,,NoneNone,,
8001876550042,,NoneNone,,
8002325670700,,NoneNone,,
8003325601947,,NoneNone,,
8003325603521,,NoneNone,,
8003940280114,,NoneNone,,
8005709880139,,NoneNone,,
8007150906055,,NoneNone,,
8033102690062,,NoneNone,,
8033102690086,,NoneNone,,
8050130074398,,NoneNone,,
8050130136850,,NoneNone,,
8050130200933,,NoneNone,,
8050130369517,,NoneNone,,
8050130430729,,NoneNone,,
8050130452264,,NoneNone,,
8050267062190,,NoneNone,,
8050270158460,,NoneNone,,
8113180315214,,NoneNone,,
8113180315528,,NoneNone,,
8302002100576,,NoneNone,,
8410010277224,,NoneNone,,
8410095008430,,NoneNone,,
8410095008447,,NoneNone,,
8410095506226,,NoneNone,,
8410111009175,,NoneNone,,
8410111009465,,NoneNone,,
8410111009960,,NoneNone,,
8410111009977,,NoneNone,,
8410111009984,,NoneNone,,
8410111903800,,NoneNone,,
8410179100067,,NoneNone,,
8410179200835,,NoneNone,,
8410179306148,,NoneNone,,
8410234721060,,NoneNone,,
8410270244936,,NoneNone,,
8410330612248,,NoneNone,,
8410344900058,,NoneNone,,
8410412021043,,NoneNone,,
8410412028523,,NoneNone,,
8410667021157,,NoneNone,,
8410775904755,,NoneNone,,
8410775904762,,NoneNone,,
8410775904779,,NoneNone,,
8410971030173,,NoneNone,,
8410971031880,,NoneNone,,
8410971034201,,NoneNone,,
8410971132921,,NoneNone,,
8410971140155,,NoneNone,,
8410971909820,,NoneNone,,
8411102011795,,NoneNone,,
8411102015762,,NoneNone,,
8411102015786,,NoneNone,,
