ean,nombre,precio,descuento,imagen_link
7702031083719,,NoneNone,,
7702031110002,,NoneNone,,
7702031167389,,NoneNone,,
7702031247722,,NoneNone,,
7702031291398,,NoneNone,,
7702031293117,,NoneNone,,
7702031363996,,NoneNone,,
7702031414360,,NoneNone,,
7702031414759,,NoneNone,,
7702031503095,,NoneNone,,
7702031510499,,NoneNone,,
7702031523021,,NoneNone,,
7702031525431,,NoneNone,,
7702031525455,,NoneNone,,
7702031544616,,NoneNone,,
7702031571261,,NoneNone,,
7702031572299,,NoneNone,,
7702031573012,,NoneNone,,
7702031573050,,NoneNone,,
7702031575337,,NoneNone,,
7702031579465,,NoneNone,,
7702031580034,,NoneNone,,
7702031580799,,NoneNone,,
7702031583783,,NoneNone,,
7702031583950,,NoneNone,,
7702031583974,,NoneNone,,
7702031587637,,NoneNone,,
7702031599043,,NoneNone,,
7702031602996,,NoneNone,,
7702031603023,,NoneNone,,
7702031604112,,NoneNone,,
7702031604167,,NoneNone,,
7702031605249,,NoneNone,,
7702031618737,,NoneNone,,
7702031668473,,NoneNone,,
7702031669630,,NoneNone,,
7702031685043,,NoneNone,,
7702031800675,,NoneNone,,
7702031800828,,NoneNone,,
7702031800958,,NoneNone,,
7702031803751,,NoneNone,,
7702031809869,,NoneNone,,
7702031809876,,NoneNone,,
7702031813583,,NoneNone,,
7702031815570,,NoneNone,,
7702031854463,,NoneNone,,
7702031854814,,NoneNone,,
7702031858980,,NoneNone,,
7702031858997,,NoneNone,,
7702031874188,,NoneNone,,
7702031874195,,NoneNone,,
7702031878513,,NoneNone,,
7702031887911,,NoneNone,,
7702031900489,,NoneNone,,
7702031900979,,NoneNone,,
7702031920052,,NoneNone,,
7702031926764,,NoneNone,,
7702031926863,,NoneNone,,
7702031927129,,NoneNone,,
7702031954989,,NoneNone,,
7702031958987,,NoneNone,,
7702031958994,,NoneNone,,
7702031963561,,NoneNone,,
7702031976707,,NoneNone,,
7702031980513,,NoneNone,,
7702031985044,,NoneNone,,
7702031987321,,NoneNone,,
7702031998679,,NoneNone,,
7702031998686,,NoneNone,,
7702031998976,,NoneNone,,
7702031999041,,NoneNone,,
7702032000012,,NoneNone,,
7702032100071,,NoneNone,,
7702032101061,,NoneNone,,
7702032101092,,NoneNone,,
7702032101450,,NoneNone,,
7702032101559,,NoneNone,,
7702032102433,,NoneNone,,
7702032102655,,NoneNone,,
7702032102723,,NoneNone,,
7702032103027,,NoneNone,,
7702032103423,,NoneNone,,
7702032103669,,NoneNone,,
7702032104864,,NoneNone,,
7702032106097,,NoneNone,,
7702032106301,,NoneNone,,
7702032107704,,NoneNone,,
7702032109005,,NoneNone,,
7702032109142,,NoneNone,,
7702032109692,,NoneNone,,
7702032110209,,NoneNone,,
7702032110407,,NoneNone,,
7702032110650,,NoneNone,,
7702032110759,,NoneNone,,
7702032110889,,NoneNone,,
7702032111190,,NoneNone,,
7702032111824,,NoneNone,,
7702032114108,,NoneNone,,
7702032114139,,NoneNone,,
7702032252817,,NoneNone,,
7702032552016,,NoneNone,,
7702035428899,,NoneNone,,
7702035435552,,NoneNone,,
7702035475060,,NoneNone,,
7702037103855,,NoneNone,,
7702037103879,,NoneNone,,
7702037501361,GUANTES ETERNA LATEX TALLA L CAJA X 100 UNIDADES ,46900,,https://olimpica.vtexassets.com/arquivos/ids/480921-800-auto?width=800&height=auto&aspect=true
7702037502658,,NoneNone,,
7702037502726,,NoneNone,,
7702037502757,,NoneNone,,
7702037502788,,NoneNone,,
7702037502825,,NoneNone,,
7702037565332,,NoneNone,,
7702037630238,,NoneNone,,
7702037652605,,NoneNone,,
7702037800013,,NoneNone,,
7702037800211,,NoneNone,,
7702037810012,,NoneNone,,
7702037810098,,NoneNone,,
7702037870252,,NoneNone,,
7702037871310,,NoneNone,,
7702037871419,,NoneNone,,
7702037873116,,NoneNone,,
7702037875431,,NoneNone,,
7702037875608,,NoneNone,,
7702037876155,,NoneNone,,
7702037876186,,NoneNone,,
7702037876230,BOLSA BASURA ETERNA AROMAS GRANDE X20un ,8160200,,https://olimpica.vtexassets.com/arquivos/ids/480923-800-auto?width=800&height=auto&aspect=true
7702037900188,,NoneNone,,
7702037900287,,NoneNone,,
7702037911368,,NoneNone,,
7702037912754,,NoneNone,,
7702037913447,,NoneNone,,
7702037913454,,NoneNone,,
7702037913744,,NoneNone,,
7702040020514,,NoneNone,,
7702042054157,,NoneNone,,
7702043666771,,NoneNone,,
7702044007887,,NoneNone,,
7702044015141,,NoneNone,,
7702044015936,,NoneNone,,
7702044156080,,NoneNone,,
7702044182133,,NoneNone,,
7702044184052,,NoneNone,,
7702044190848,,NoneNone,,
7702044200028,,NoneNone,,
7702044213349,Desodorante Arden For Men Sport Crema 270Gr ,16000,,https://olimpica.vtexassets.com/arquivos/ids/566063-800-auto?width=800&height=auto&aspect=true
7702044216654,,NoneNone,,
7702044217248,,NoneNone,,
7702044222204,,NoneNone,,
7702044229623,,NoneNone,,
7702044236874,,NoneNone,,
7702044239080,,NoneNone,,
7702044239356,,NoneNone,,
7702044239462,,NoneNone,,
7702044239509,,NoneNone,,
7702044243643,,NoneNone,,
7702044243735,,NoneNone,,
7702044246361,,NoneNone,,
7702044254649,,NoneNone,,
7702044262972,TINTE SOFT COLOR 71 RUBIO CENIZO X 2 UNIDADES ,29760,,https://olimpica.vtexassets.com/arquivos/ids/497320-800-auto?width=800&height=auto&aspect=true
7702044265829,,NoneNone,,
7702044265843,,NoneNone,,
7702045118421,,NoneNone,,
7702045252033,,NoneNone,,
7702045273960,,NoneNone,,
7702045490114,,NoneNone,,
7702045508161,,NoneNone,,
7702045518672,,NoneNone,,
7702045518986,,NoneNone,,
7702045519525,,NoneNone,,
7702045520453,,NoneNone,,
7702045520736,,NoneNone,,
7702045520910,,NoneNone,,
7702045521023,,NoneNone,,
7702045521672,,NoneNone,,
7702045521757,,NoneNone,,
7702045521795,,NoneNone,,
7702045523393,,NoneNone,,
7702045523447,,NoneNone,,
7702045523614,,NoneNone,,
7702045524789,,NoneNone,,
7702045524925,,NoneNone,,
7702045528336,,NoneNone,,
7702045529821,,NoneNone,,
7702045529845,,NoneNone,,
7702045529852,,NoneNone,,
7702045529869,,NoneNone,,
7702045529876,,NoneNone,,
7702045530070,,NoneNone,,
7702045532005,,NoneNone,,
7702045532029,,NoneNone,,
7702045532050,,NoneNone,,
7702045533385,,NoneNone,,
7702045535082,,NoneNone,,
7702045535358,,NoneNone,,
7702045535372,,NoneNone,,
7702045535419,,NoneNone,,
7702045535471,,NoneNone,,
7702045535631,,NoneNone,,
7702045536447,,NoneNone,,
7702045539615,,NoneNone,,
7702045540161,,NoneNone,,
7702045540277,,NoneNone,,
7702045540512,,NoneNone,,
7702045541106,,NoneNone,,
7702045541137,,NoneNone,,
7702045541984,,NoneNone,,
7702045542363,,NoneNone,,
7702045544848,,NoneNone,,
7702045544862,,NoneNone,,
7702045546149,,NoneNone,,
7702045546156,,NoneNone,,
7702045547597,,NoneNone,,
7702045547740,,NoneNone,,
7702045548112,,NoneNone,,
7702045548280,,NoneNone,,
7702045548327,,NoneNone,,
7702045548433,,NoneNone,,
