ean,nombre,precio,descuento,imagen_link
7702335950069,PAPEL HIGIENICO FAMILIA ACOLCHAMAX MEGA 34M X12R,13040,,https://olimpica.vtexassets.com/arquivos/ids/488692-800-auto?width=800&height=auto&aspect=true
7702345102922,,NoneNone,,
7702345103394,,NoneNone,,
7702345104025,,NoneNone,,
7702345945840,,NoneNone,,
7702348111181,,NoneNone,,
7702348932618,,NoneNone,,
7702348933769,,NoneNone,,
7702351030301,,NoneNone,,
7702352000396,,NoneNone,,
7702352020042,,NoneNone,,
7702352020059,,NoneNone,,
7702354000103,,NoneNone,,
7702354000202,,NoneNone,,
7702354001483,,NoneNone,,
7702354002312,,NoneNone,,
7702354003807,,NoneNone,,
7702354004019,,NoneNone,,
7702354008604,,NoneNone,,
7702354013608,,NoneNone,,
7702354013615,,NoneNone,,
7702354014216,,NoneNone,,
7702354014261,,NoneNone,,
7702354021047,,NoneNone,,
7702354021566,,NoneNone,,
7702354021573,,NoneNone,,
7702354022389,,NoneNone,,
7702354023140,,NoneNone,,
7702354023171,,NoneNone,,
7702354023256,,NoneNone,,
7702354023263,,NoneNone,,
7702354023270,,NoneNone,,
7702354023362,,NoneNone,,
7702354023379,,NoneNone,,
7702354023386,,NoneNone,,
7702354024260,,NoneNone,,
7702354024277,,NoneNone,,
7702354024529,,NoneNone,,
7702354024826,,NoneNone,,
7702354024833,,NoneNone,,
7702354025014,,NoneNone,,
7702354025021,,NoneNone,,
7702354025038,,NoneNone,,
7702354025045,,NoneNone,,
7702354025069,,NoneNone,,
7702354025076,,NoneNone,,
7702354025083,,NoneNone,,
7702354025106,,NoneNone,,
7702354025137,,NoneNone,,
7702354025151,,NoneNone,,
7702354025236,,NoneNone,,
7702354025274,,NoneNone,,
7702354025465,,NoneNone,,
7702354026165,,NoneNone,,
7702354026899,,NoneNone,,
7702354027544,,NoneNone,,
7702354028121,,NoneNone,,
7702354028466,,NoneNone,,
7702354028497,,NoneNone,,
7702354028503,,NoneNone,,
7702354028626,,NoneNone,,
7702354028770,,NoneNone,,
7702354029722,,NoneNone,,
7702354029845,,NoneNone,,
7702354030414,,NoneNone,,
7702354030889,,NoneNone,,
7702354030896,,NoneNone,,
7702354031169,,NoneNone,,
7702354031367,,NoneNone,,
7702354031381,,NoneNone,,
7702354031435,,NoneNone,,
7702354031442,,NoneNone,,
7702354031459,,NoneNone,,
7702354031466,,NoneNone,,
7702354031480,,NoneNone,,
7702354032135,,NoneNone,,
7702354032180,,NoneNone,,
7702354033378,,NoneNone,,
7702354033385,,NoneNone,,
7702354033620,,NoneNone,,
