ean,nombre,precio,descuento,imagen_link
7707183326370,,NoneNone,,
7707183326387,,NoneNone,,
7707183326394,,NoneNone,,
7707183326400,,NoneNone,,
7707183326530,,NoneNone,,
7707183326585,,NoneNone,,
7707183326592,,NoneNone,,
7707183326653,,NoneNone,,
7707183326660,,NoneNone,,
7707183326752,,NoneNone,,
7707183326776,,NoneNone,,
7707183326783,,NoneNone,,
7707183326790,,NoneNone,,
7707183326806,,NoneNone,,
7707183326813,,NoneNone,,
7707183326820,,NoneNone,,
7707183326837,,NoneNone,,
7707183326844,,NoneNone,,
7707183326851,,NoneNone,,
7707183326875,,NoneNone,,
7707183326936,,NoneNone,,
7707183326943,,NoneNone,,
7707183326950,,NoneNone,,
7707183326967,,NoneNone,,
7707183327001,,NoneNone,,
7707183327155,,NoneNone,,
7707183327438,,NoneNone,,
7707183327568,,NoneNone,,
7707183328411,,NoneNone,,
7707183328749,,NoneNone,,
7707183329500,,NoneNone,,
7707183329647,,NoneNone,,
7707183350054,,NoneNone,,
7707183660313,,NoneNone,,
7707183660542,,NoneNone,,
7707183660573,,NoneNone,,
7707183790010,,NoneNone,,
7707184208019,,NoneNone,,
7707184208088,,NoneNone,,
7707184208101,,NoneNone,,
7707184208170,,NoneNone,,
7707184208194,,NoneNone,,
7707184520012,,NoneNone,,
7707184520029,,NoneNone,,
7707184520098,,NoneNone,,
7707184520104,,NoneNone,,
7707184520111,,NoneNone,,
7707184520128,,NoneNone,,
7707184570048,,NoneNone,,
7707184570055,,NoneNone,,
7707184570079,,NoneNone,,
7707184570086,,NoneNone,,
7707184570093,,NoneNone,,
7707184570109,,NoneNone,,
7707184570116,,NoneNone,,
7707184570338,,NoneNone,,
7707184570659,,NoneNone,,
7707184573803,,NoneNone,,
7707185150522,,NoneNone,,
7707185150539,,NoneNone,,
7707185150546,,NoneNone,,
7707185150553,,NoneNone,,
7707185150560,,NoneNone,,
7707185150577,,NoneNone,,
7707185150584,,NoneNone,,
7707185554016,,NoneNone,,
7707185554078,,NoneNone,,
7707185810396,,NoneNone,,
7707185810693,,NoneNone,,
7707185810709,,NoneNone,,
7707185810778,,NoneNone,,
7707187001075,,NoneNone,,
7707187300215,,NoneNone,,
7707187731477,,NoneNone,,
7707187840698,,NoneNone,,
7707187840773,,NoneNone,,
7707187841046,,NoneNone,,
7707187841060,,NoneNone,,
7707187841275,,NoneNone,,
7707187843477,,NoneNone,,
7707187844337,,NoneNone,,
7707188160016,,NoneNone,,
7707188160047,,NoneNone,,
7707188160054,,NoneNone,,
7707188160061,,NoneNone,,
7707188160306,,NoneNone,,
7707188160344,,NoneNone,,
7707188160504,,NoneNone,,
7707188160870,,NoneNone,,
7707188165264,,NoneNone,,
7707188165639,,NoneNone,,
7707188169064,,NoneNone,,
7707189000205,,NoneNone,,
7707189000311,,NoneNone,,
7707189000328,,NoneNone,,
7707189000922,,NoneNone,,
7707189190128,,NoneNone,,
7707189190326,,NoneNone,,
7707189190340,,NoneNone,,
7707189190609,,NoneNone,,
7707189190616,,NoneNone,,
7707189404355,,NoneNone,,
7707189409107,,NoneNone,,
7707189409114,,NoneNone,,
7707189409138,,NoneNone,,
7707189409145,,NoneNone,,
7707189409152,,NoneNone,,
7707189409169,,NoneNone,,
7707189409176,,NoneNone,,
7707189409183,,NoneNone,,
7707189409190,,NoneNone,,
7707189409206,,NoneNone,,
7707189409213,,NoneNone,,
7707189409220,,NoneNone,,
7707189409237,,NoneNone,,
7707189409268,,NoneNone,,
7707189409275,,NoneNone,,
7707189409282,,NoneNone,,
7707189409329,,NoneNone,,
7707189409336,,NoneNone,,
7707189409343,,NoneNone,,
7707189409350,,NoneNone,,
7707189409367,,NoneNone,,
7707189409381,,NoneNone,,
7707189409398,,NoneNone,,
7707189409404,,NoneNone,,
7707189409411,,NoneNone,,
7707189409428,,NoneNone,,
7707189409435,,NoneNone,,
7707189480014,,NoneNone,,
7707189480137,,NoneNone,,
7707189480168,,NoneNone,,
7707189480496,,NoneNone,,
7707189480700,,NoneNone,,
7707189480731,,NoneNone,,
7707189480762,,NoneNone,,
7707189480823,,NoneNone,,
7707189480847,,NoneNone,,
7707189480977,,NoneNone,,
7707189940020,,NoneNone,,
7707189940037,,NoneNone,,
7707189940099,,NoneNone,,
7707190395154,,NoneNone,,
7707190395178,,NoneNone,,
7707190395185,,NoneNone,,
7707190395352,,NoneNone,,
7707190395369,,NoneNone,,
7707190395383,,NoneNone,,
7707190395390,,NoneNone,,
7707190395406,,NoneNone,,
7707190395420,,NoneNone,,
7707190395994,,NoneNone,,
7707190396007,,NoneNone,,
7707190396014,,NoneNone,,
7707190396021,,NoneNone,,
7707190396038,,NoneNone,,
7707190396045,,NoneNone,,
7707190396380,,NoneNone,,
7707190396427,,NoneNone,,
7707190396441,,NoneNone,,
7707190396458,,NoneNone,,
7707190396847,,NoneNone,,
7707190396854,,NoneNone,,
7707190396885,,NoneNone,,
7707191000347,,NoneNone,,
7707191640048,,NoneNone,,
7707191840011,,NoneNone,,
7707191840028,,NoneNone,,
7707191840042,,NoneNone,,
7707191840066,,NoneNone,,
7707191840080,,NoneNone,,
7707191840134,,NoneNone,,
7707191840196,,NoneNone,,
7707191840240,,NoneNone,,
7707191840257,,NoneNone,,
7707191840356,,NoneNone,,
7707192032385,,NoneNone,,
7707192034129,,NoneNone,,
7707192034228,,NoneNone,,
7707192034235,,NoneNone,,
7707192080010,,NoneNone,,
7707192451018,,NoneNone,,
7707192455559,,NoneNone,,
7707192457089,,NoneNone,,
7707192459755,,NoneNone,,
7707192730083,PANELA CUBO INSTANTANEA CIDRON 300 GR ,5200None,,https://olimpica.vtexassets.com/arquivos/ids/498771-800-auto?width=800&height=auto&aspect=true
7707192730090,,NoneNone,,
7707192730366,,NoneNone,,
7707192731011,,NoneNone,,
7707192731059,,NoneNone,,
7707192731073,,NoneNone,,
7707193250139,,NoneNone,,
7707193250146,,NoneNone,,
7707193330015,,NoneNone,,
7707193621427,,NoneNone,,
7707193622622,,NoneNone,,
7707193623834,,NoneNone,,
7707193624374,,NoneNone,,
7707193624411,,NoneNone,,
7707193625760,,NoneNone,,
7707193626330,,NoneNone,,
7707193626347,,NoneNone,,
7707193830607,,NoneNone,,
7707193830614,,NoneNone,,
7707193830621,,NoneNone,,
7707193830638,,NoneNone,,
7707193830645,,NoneNone,,
7707193830669,,NoneNone,,
7707193830676,,NoneNone,,
7707193830683,,NoneNone,,
7707193830690,,NoneNone,,
7707193830706,,NoneNone,,
7707193830713,,NoneNone,,
7707193830768,,NoneNone,,
7707193830775,,NoneNone,,
7707193830782,,NoneNone,,
7707193830805,,NoneNone,,
7707193830812,,NoneNone,,
7707193831000,,NoneNone,,
7707193831017,,NoneNone,,
7707193831024,,NoneNone,,
7707193831031,,NoneNone,,
7707193831048,,NoneNone,,
7707193831062,,NoneNone,,
7707193832540,,NoneNone,,
7707194120127,,NoneNone,,
7707194261981,,NoneNone,,
7707194390360,,NoneNone,,
7707194504026,,NoneNone,,
7707194750003,,NoneNone,,
7707194750102,,NoneNone,,
7707194750119,,NoneNone,,
7707194750157,,NoneNone,,
7707194750201,,NoneNone,,
7707194750218,,NoneNone,,
7707194750256,,NoneNone,,
7707194750263,,NoneNone,,
7707194751505,,NoneNone,,
7707194751512,,NoneNone,,
7707194754131,,NoneNone,,
7707194830071,,NoneNone,,
7707194830125,,NoneNone,,
7707194830149,,NoneNone,,
7707194830156,,NoneNone,,
7707194830187,,NoneNone,,
7707194830231,,NoneNone,,
7707194830286,,NoneNone,,
7707194830378,,NoneNone,,
7707194830385,,NoneNone,,
7707194830521,,NoneNone,,
7707194830576,,NoneNone,,
7707194830583,,NoneNone,,
7707194830958,,NoneNone,,
7707194850307,,NoneNone,,
7707194851014,,NoneNone,,
7707194851113,,NoneNone,,
7707194851144,,NoneNone,,
7707194852042,,NoneNone,,
7707194852066,,NoneNone,,
7707194852073,,NoneNone,,
7707194852103,,NoneNone,,
7707194852110,,NoneNone,,
7707194852127,,NoneNone,,
7707194852134,,NoneNone,,
7707194852141,,NoneNone,,
7707194852158,,NoneNone,,
7707194852165,,NoneNone,,
7707194852189,,NoneNone,,
7707195360027,,NoneNone,,
7707195360041,,NoneNone,,
7707195360065,,NoneNone,,
7707195360102,,NoneNone,,
7707195870274,,NoneNone,,
7707195875729,,NoneNone,,
7707195878270,,NoneNone,,
7707196273029,,NoneNone,,
7707196273067,,NoneNone,,
7707196275016,,NoneNone,,
7707196276020,,NoneNone,,
7707196276044,,NoneNone,,
7707196281024,,NoneNone,,
7707196291023,,NoneNone,,
7707196301029,,NoneNone,,
7707196311035,,NoneNone,,
7707196321034,,NoneNone,,
7707196561010,,NoneNone,,
7707196561317,,NoneNone,,
7707196562406,,NoneNone,,
7707196562451,,NoneNone,,
7707196565193,,NoneNone,,
7707196565209,,NoneNone,,
7707196590263,,NoneNone,,
7707196590485,,NoneNone,,
7707196590959,,NoneNone,,
7707196592113,,NoneNone,,
7707196592151,,NoneNone,,
7707196592236,,NoneNone,,
7707196592304,,NoneNone,,
7707196593257,,NoneNone,,
7707196594049,,NoneNone,,
7707196596227,,NoneNone,,
7707196596791,,NoneNone,,
7707196597163,,NoneNone,,
7707196598573,,NoneNone,,
7707197140726,,NoneNone,,
7707197140818,,NoneNone,,
7707197470144,,NoneNone,,
7707197472032,,NoneNone,,
7707197472070,ARROZ GELVEZ  5kg ,15500,,https://olimpica.vtexassets.com/arquivos/ids/495020-800-auto?width=800&height=auto&aspect=true
7707197473626,,NoneNone,,
7707197474142,,NoneNone,,
7707197474197,,NoneNone,,
7707197475927,,NoneNone,,
7707197478072,,NoneNone,,
7707197729433,,NoneNone,,
7707198150038,,NoneNone,,
7707198380787,,NoneNone,,
7707198753840,,NoneNone,,
7707198900169,,NoneNone,,
7707198900305,,NoneNone,,
7707198910113,,NoneNone,,
7707198910151,,NoneNone,,
7707198990160,,NoneNone,,
7707198990528,,NoneNone,,
7707198994489,,NoneNone,,
7707199340209,,NoneNone,,
7707199341404,,NoneNone,,
7707199341855,,NoneNone,,
7707199343309,,NoneNone,,
7707199344313,,NoneNone,,
7707199344412,,NoneNone,,
7707199344603,,NoneNone,,
7707199345037,,NoneNone,,
7707199345594,,NoneNone,,
7707199345686,,NoneNone,,
7707199346614,,NoneNone,,
7707199346621,,NoneNone,,
7707199346645,,NoneNone,,
7707199346652,,NoneNone,,
7707199346751,,NoneNone,,
7707199346850,,NoneNone,,
7707199346959,,NoneNone,,
7707199347109,,NoneNone,,
7707199347116,,NoneNone,,
7707199347505,,NoneNone,,
7707199347567,,NoneNone,,
7707199348441,,NoneNone,,
7707199348465,,NoneNone,,
7707199348908,,NoneNone,,
7707199349042,,NoneNone,,
7707199349103,,NoneNone,,
7707199349288,,NoneNone,,
7707199540005,,NoneNone,,
7707199540012,,NoneNone,,
7707199540074,,NoneNone,,
7707199540098,,NoneNone,,
7707199540111,,NoneNone,,
7707199540128,,NoneNone,,
7707199540159,,NoneNone,,
7707199540166,,NoneNone,,
7707199540203,,NoneNone,,
7707199540272,,NoneNone,,
7707199540364,,NoneNone,,
7707199540692,,NoneNone,,
7707199540708,,NoneNone,,
7707199540852,,NoneNone,,
7707199541491,,NoneNone,,
7707199542610,,NoneNone,,
7707199543235,,NoneNone,,
7707199544058,,NoneNone,,
7707199544454,,NoneNone,,
7707199544850,,NoneNone,,
7707199545772,,NoneNone,,
7707199546090,,NoneNone,,
7707199547615,,NoneNone,,
7707199548636,,NoneNone,,
7707199549152,,NoneNone,,
7707199590017,,NoneNone,,
7707199988715,,NoneNone,,
7707199988814,,NoneNone,,
7707199988999,,NoneNone,,
7707200710663,,NoneNone,,
7707200900040,,NoneNone,,
7707200900057,,NoneNone,,
7707200900262,,NoneNone,,
7707200900323,,NoneNone,,
7707200900330,,NoneNone,,
7707200900378,,NoneNone,,
7707200901122,,NoneNone,,
7707200901320,,NoneNone,,
7707200901337,,NoneNone,,
7707200902235,,NoneNone,,
7707200903607,,NoneNone,,
7707200903836,,NoneNone,,
7707200903867,,NoneNone,,
7707200903881,,NoneNone,,
7707200904031,,NoneNone,,
7707200904765,,NoneNone,,
7707200905151,,NoneNone,,
7707200907865,,NoneNone,,
7707200907889,,NoneNone,,
7707200908978,,NoneNone,,
7707200908985,,NoneNone,,
7707200909302,,NoneNone,,
7707200909456,,NoneNone,,
7707201100012,,NoneNone,,
7707201100029,,NoneNone,,
7707201100036,,NoneNone,,
7707201103006,,NoneNone,,
7707201108643,,NoneNone,,
7707201530017,,NoneNone,,
7707201530048,,NoneNone,,
7707201530192,,NoneNone,,
7707201830025,,NoneNone,,
7707201830100,,NoneNone,,
7707201830278,,NoneNone,,
7707201830551,,NoneNone,,
7707201830728,,NoneNone,,
7707201830797,,NoneNone,,
7707201830827,,NoneNone,,
7707201900339,,NoneNone,,
7707201930657,,NoneNone,,
7707201931593,,NoneNone,,
7707201931609,,NoneNone,,
7707201939650,,NoneNone,,
7707201939711,,NoneNone,,
7707201939728,,NoneNone,,
