ean,nombre,precio,descuento,imagen_link
7704631903855,,NoneNone,,
7704631903916,,NoneNone,,
7704631903923,,NoneNone,,
7704631903930,,NoneNone,,
7704631903947,,NoneNone,,
7704631903954,,NoneNone,,
7704631903961,,NoneNone,,
7704631903978,,NoneNone,,
7704631904173,,NoneNone,,
7704631904241,,NoneNone,,
7704631904296,,NoneNone,,
7704631904302,,NoneNone,,
7704631904692,,NoneNone,,
7704631904708,,NoneNone,,
7704631904722,,NoneNone,,
7704631904777,,NoneNone,,
7704631904821,,NoneNone,,
7704631905040,,NoneNone,,
7704631905248,,NoneNone,,
7704631905262,,NoneNone,,
7704631905279,,NoneNone,,
7704631905286,,NoneNone,,
7704631905323,,NoneNone,,
7704631905330,,NoneNone,,
7704635111188,,NoneNone,,
7704635111201,,NoneNone,,
7704635111867,,NoneNone,,
7704635111874,,NoneNone,,
7704635112192,,NoneNone,,
7704635112567,,NoneNone,,
7704635112727,,NoneNone,,
7704635114509,,NoneNone,,
7704635114516,,NoneNone,,
7704635114523,,NoneNone,,
7704635114622,,NoneNone,,
7704668000237,,NoneNone,,
7704668000275,,NoneNone,,
7704668000282,,NoneNone,,
7704668000404,,NoneNone,,
7704699095011,,NoneNone,,
7704699095035,,NoneNone,,
7704699404035,,NoneNone,,
7704730111113,,NoneNone,,
7704754709747,,NoneNone,,
7704768000144,,NoneNone,,
7704768000168,,NoneNone,,
7704768000342,,NoneNone,,
7704768000533,,NoneNone,,
7704768001080,,NoneNone,,
7704768001189,,NoneNone,,
7704768001240,,NoneNone,,
7704768001349,,NoneNone,,
7704768001592,,NoneNone,,
7704768001622,,NoneNone,,
