ean,nombre,precio,descuento,imagen_link
7891150050501,ACONDICIONADOR DOVE HIDRATACION INTENSA X 400ML ,18900,,https://olimpica.vtexassets.com/arquivos/ids/479293-800-auto?width=800&height=auto&aspect=true
7891150055223,SHAMPOO DOVE OLEO MICELAR 400ML ,18900,,https://olimpica.vtexassets.com/arquivos/ids/485180-800-auto?width=800&height=auto&aspect=true
7891150060852,ACONDICIONADOR DOVE 1 MINUTO NUTRICION 60 X 170 ML ,18900,,https://olimpica.vtexassets.com/arquivos/ids/485182-800-auto?width=800&height=auto&aspect=true
78924222,,NoneNone,,
78927254,,NoneNone,,
78930841,,NoneNone,,
79400300546,DESODORANTE REXONA BARRA CLINICAL MEN SPORT 48G ,19400,,https://olimpica.vtexassets.com/arquivos/ids/497610-800-auto?width=800&height=auto&aspect=true
79400452030,SHAMPOO DOVE ANTICASPA HIDRATACION Y SUAVIDAD 355ML ,18490,,https://olimpica.vtexassets.com/arquivos/ids/485248-800-auto?width=800&height=auto&aspect=true
79400678881,SHAMPOO DOVE ANTICASPA ALIVIO PICAZON 355 ML ,18490,,https://olimpica.vtexassets.com/arquivos/ids/485251-800-auto?width=800&height=auto&aspect=true
79400678904,,NoneNone,,
8851932192576,ESPUMA LIMPIADORA FACIAL PONDS FLAWLESS 100 ML ,28500,,https://olimpica.vtexassets.com/arquivos/ids/493300-800-auto?width=800&height=auto&aspect=true
8999999060077,CREMA FACIAL PONDS AGE MIRACLE NOCHE 50G ,61300,,https://olimpica.vtexassets.com/arquivos/ids/485370-800-auto?width=800&height=auto&aspect=true
8999999060220,,NoneNone,,
8999999060237,CREMA FACIAL PONDS AGE MIRACLE DIA 50G ,61400,,https://olimpica.vtexassets.com/arquivos/ids/485371-800-auto?width=800&height=auto&aspect=true
11111124127,JABON LIQUIDO CORPORAL DOVE 354 ML ,12400,,https://olimpica.vtexassets.com/arquivos/ids/479398-800-auto?width=800&height=auto&aspect=true
7591107310060,,NoneNone,,
7591107310114,,NoneNone,,
7702006201346,JABON DOVE LECHE COCO 90G X 3 UNIDADES ,NoneNone,,https://olimpica.vtexassets.com/arquivos/ids/480792-800-auto?width=800&height=auto&aspect=true
7702006205054,JABON LUX ROSAS FRANCESAS 125G X 3 UNIDADES ,NoneNone,,https://olimpica.vtexassets.com/arquivos/ids/488218-800-auto?width=800&height=auto&aspect=true
7702006205399,JABON REXONA ANTIBACTERIAL BAMBOO 120G X 3 UNIDADES ,NoneNone,,https://olimpica.vtexassets.com/arquivos/ids/478157-800-auto?width=800&height=auto&aspect=true
7702006205405,JABON REXONA ANTIBACTERIAL AVENA 120G X 3 UNIDADES ,NoneNone,,https://olimpica.vtexassets.com/arquivos/ids/478158-800-auto?width=800&height=auto&aspect=true
7702006652766,,NoneNone,,
7702006652773,,NoneNone,,
7702191000342,,NoneNone,,
7702191000786,DETERGENTE EN POLVO PURO ROSAS LILAS 2 kg ,10600,,https://olimpica.vtexassets.com/arquivos/ids/497526-800-auto?width=800&height=auto&aspect=true
7702191001240,DETERGENTE EN POLVO FAB FLORAL 2kg ,11000,,https://olimpica.vtexassets.com/arquivos/ids/490135-800-auto?width=800&height=auto&aspect=true
7702191001257,,NoneNone,,
7702191040843,JABON COCO ORIGINAL 300 g ,NoneNone,,https://olimpica.vtexassets.com/arquivos/ids/490136-800-auto?width=800&height=auto&aspect=true
7702191161289,DETERGENTE EN POLVO 3D MULTIUSOS 3kg ,15500,,https://olimpica.vtexassets.com/arquivos/ids/490137-800-auto?width=800&height=auto&aspect=true
7702191162170,,NoneNone,,
7702191162194,,NoneNone,,
7702191162200,,NoneNone,,
7702191162217,,NoneNone,,
7702191162651,DETERGENTE EN POLVO FAB PROTECCION COLOR 2kg ,11000,,https://olimpica.vtexassets.com/arquivos/ids/497527-800-auto?width=800&height=auto&aspect=true
7702191162668,,NoneNone,,
7702191348338,,NoneNone,,
7702191349625,,NoneNone,,
7702191655221,,NoneNone,,
7702191657850,JABON COCO 300 g X 3 PRECIO ESPECIAL ,NoneNone,,https://olimpica.vtexassets.com/arquivos/ids/490144-800-auto?width=800&height=auto&aspect=true
7702191658222,,NoneNone,,
7702191658239,JABON PURO AZUL 235 g X3 ,NoneNone,,https://olimpica.vtexassets.com/arquivos/ids/490145-800-auto?width=800&height=auto&aspect=true
7702191658895,,NoneNone,,
